"","CCNA2","CCNB1","BIRC5","TOP2A","PLK1","NDC80","CDCA8","MKI67","CDC6","CENPF","KRT17","RRM2","t","p"
"1",4.4369764,4.729787,4.7418017,5.4484115,4.136963,5.012226,3.8902013,4.6009593,2.3593574,5.436558,3.4379022,5.12419,0.942,"G2M"
"2",5.0070457,5.4209256,5.2849975,5.2604313,4.3519,4.710877,3.5416489,5.462418,3.392314,5.038585,1.7559792,5.1276417,0.959,"G2M"
"3",4.774753,5.702593,4.062055,5.698922,3.983446,5.334723,4.409746,5.4111304,4.2968082,5.582017,0.7409624,5.1554785,0.917,"G2M"
"4",5.2873907,6.61866,5.5274687,6.197008,5.131065,5.4536667,5.357252,5.9410615,3.3887641,5.968898,1.5214072,5.0192904,0.846,"G2M"
"5",3.1868408,4.4838142,5.0436964,4.638054,3.663125,4.315563,3.9645975,4.5303626,4.0229254,4.744488,5.02307,5.414666,0.184,"S-ph"
"6",5.3922057,6.102491,5.201194,5.8915825,4.7664895,5.400862,4.6178055,5.9150486,3.906072,5.1799216,3.6186917,4.8959007,0.691,"S-ph"
"7",4.350401,5.600997,5.005537,4.8077755,2.9533997,3.453278,3.6454082,5.1031485,4.776038,4.2326884,2.3574228,5.326239,0.178,"S-ph"
"8",4.7404313,5.3290224,5.1143723,4.2798424,2.4736307,3.6796546,3.477821,4.8963456,4.8406873,4.405343,3.1754742,5.391426,0.409,"S-ph"
"9",4.8367734,5.242158,4.9664216,6.02116,4.0470676,5.4158697,4.1438684,5.518195,3.9585638,5.5103836,4.7054715,5.9454274,0.983,"G2M"
"11",5.243208,6.51293,5.387803,4.9557157,5.367194,5.40399,5.1337113,4.707307,3.8004866,5.4433465,1.3020738,3.858619,0.02,"G1"
"12",4.1702313,6.380251,4.993202,4.8885956,4.9814487,4.7346187,3.8425605,5.293712,3.9962862,5.2850223,3.2571514,4.993202,0.132,"G1"
"13",4.7214203,6.4867415,5.103538,4.9717135,5.171734,5.4971056,5.0047126,4.4565525,3.6572495,5.598876,2.4551976,4.668326,0.016,"G1"
"14",5.0943685,5.1294947,5.0799646,5.674635,3.979283,5.156734,4.455882,5.020182,4.7674527,4.68481,4.5947175,6.1597466,0.955,"G2M"
"15",4.449651,4.449651,4.8973784,5.3869476,2.5714889,4.117841,4.449651,5.586786,3.225676,4.8973784,3.898759,4.117841,0.979,"G2M"
"16",2.9433928,3.0703166,3.7090044,2.7164977,1.5795735,2.7164977,3.5378146,2.7164977,4.7695894,2.7979848,5.153844,3.8551273,0.191,"G1"
"17",5.433862,6.473383,5.4564066,5.545228,5.2371097,5.2599783,5.2324724,4.845768,3.5026402,5.354816,3.9412007,4.6581626,0.011,"G1"
"18",4.662335,5.4510984,4.534425,5.7065024,3.0506494,4.026959,4.261581,4.8194203,4.16768,4.600424,5.1387815,4.8363776,0.925999999999999,"G2M"
"19",5.6390567,6.5284133,5.838653,4.464868,5.0809317,4.6324916,5.60073,5.693926,3.527599,6.141847,3.3117726,5.167425,0.002,"G1"
"20",5.2871685,6.016738,4.7378945,6.158947,5.2235537,5.4418545,4.6077867,5.478875,3.8346539,5.4418545,4.478154,5.004096,0.935,"G2M"
"21",3.8080812,5.9086237,4.0902,4.0902,3.4136503,4.490071,0,4.309991,4.9963984,4.7749443,3.4136503,4.7749443,0.12,"G1"
"22",5.5275126,6.0555706,5.2705426,6.175508,4.789939,5.8181486,4.9334006,5.416135,1.6047204,5.79422,3.100445,5.2705426,0.909,"G2M"
"23",4.172262,5.3126464,4.4718986,5.810244,4.2188034,5.19421,4.07213,5.1827135,4.188018,4.8333726,4.517899,5.2279263,0.900999999999999,"G2M"
"24",5.174044,6.539933,5.6708083,5.2002835,4.8577113,5.543298,4.9483247,4.553019,4.1866775,5.8958497,2.6496153,4.3806705,0.012,"G1"
"25",4.764369,4.995688,4.8921704,5.071419,3.2466712,4.527776,4.0548296,4.6736193,4.3754244,4.3190055,4.393544,5.0530167,0.048,"S-ph"
