names,cell_cycle_phase,cell_cycle_hrs
A10_355,G2M,0.942
A12_355,G2M,0.959
A13_355,G2M,0.917
A14_355,G2M,0.846
A15_355,S-ph,0.184
A16_355,S-ph,0.691
A17_355,S-ph,0.178
A18_355,S-ph,0.409
A19_355,G2M,0.983
A1_355,S-ph,
A20_355,G1,0.02
A21_355,G1,0.132
A22_355,G1,0.016
A23_355,G2M,0.955
A3_355,G2M,0.979
A4_355,G1,0.191
A5_355,G1,0.011
A6_355,G2M,0.925999999999999
A7_355,G1,0.002
A8_355,G2M,0.935
A9_355,G1,0.12
B10_355,G2M,0.909
B11_355,G2M,0.900999999999999
B13_355,G1,0.012
B14_355,S-ph,0.048
B15_355,G2M,0.838
B16_355,G1,0.013
B17_355,G1,0.004
B18_355,S-ph,0.503
B19_355,G1,0.013
B1_355,G2M,0.905
B20_355,S-ph,0.640999999999999
B21_355,G2M,0.943
B23_355,G1,
B24_355,S-ph,0.367
B2_355,G2M,0.912
B3_355,G2M,0.945
B4_355,G2M,0.948
B5_355,S-ph,0.815
B6_355,S-ph,0.72
B7_355,S-ph,0.472
B8_355,G1,
B9_355,G1,0.031
C10_355,G2M,0.925
C11_355,G2M,0.878
C12_355,G2M,0.939
C13_355,G1,
C14_355,G2M,0.954
C15_355,S-ph,0.565
C16_355,G1,
C17_355,S-ph,0.712
C18_355,G2M,0.853
C19_355,G2M,0.904
C20_355,G1,
C21_355,S-ph,0.732
C22_355,G2M,0.932999999999999
C23_355,G2M,0.782
C24_355,G1,0.044
C2_355,S-ph,0.382999999999999
C3_355,S-ph,0.687
C4_355,G2M,0.978
C5_355,G2M,0.922
C6_355,S-ph,0.664
C7_355,G2M,0.941
C8_355,G1,
C9_355,S-ph,0.898
D10_355,S-ph,0.426
D11_355,G1,0.01
D12_355,G1,0.034
D13_355,G2M,0.947
D14_355,G1,0.055
D16_355,G2M,0.96
D17_355,S-ph,0.311
D18_355,G1,
D19_355,G1,0.108
D1_355,G2M,0.932
D20_355,S-ph,0.602
D21_355,G1,0.047
D22_355,G2M,0.815
D23_355,G1,0.085
D24_355,G2M,0.89
D2_355,G1,0.045
D4_355,G2M,0.904
D5_355,G2M,0.885
D6_355,G2M,0.841
D7_355,S-ph,0.439
D8_355,G2M,0.847
D9_355,G1,0.033
E10_355,G2M,0.863
E11_355,S-ph,0.506
E12_355,G1,0.001
E13_355,G1,0.231999999999999
E14_355,G1,
E15_355,G2M,0.991
E16_355,S-ph,0.406
E18_355,G2M,0.864
E19_355,S-ph,0.660999999999999
E1_355,G1,
E20_355,S-ph,0.462
E21_355,G2M,0.858
E22_355,G2M,0.795999999999999
E3_355,G1,
E4_355,G1,
E6_355,G1,0.043
E7_355,S-ph,0.408
E8_355,G1,0.017
E9_355,S-ph,0.758
F10_355,G2M,0.958
F11_355,G2M,0.949
F12_355,G2M,0.937
F13_355,S-ph,0.716
F14_355,G1,0.087
F15_355,G2M,0.972
F17_355,G2M,0.907999999999999
F18_355,S-ph,0.392999999999999
F19_355,G2M,0.880999999999999
F1_355,G1,0.088
F20_355,G1,0.066
F21_355,G2M,0.845
F22_355,G1,0.098
F23_355,G2M,0.890999999999999
F24_355,G1,0.18
F2_355,G1,0.0559999999999999
F3_355,S-ph,0.52
F4_355,G2M,0.862
F5_355,S-ph,0.669
F6_355,G2M,0.825
F7_355,G2M,0.772
F8_355,S-ph,
F9_355,G2M,0.965
G10_355,G2M,0.854
G11_355,G2M,0.737
G13_355,G1,0.075
G14_355,G2M,0.868
G15_355,S-ph,0.387999999999999
G16_355,G1,
G17_355,S-ph,0.604
G18_355,G2M,0.719
G1_355,S-ph,0.38
G20_355,G1,0.083
G21_355,S-ph,0.315
