N,Dims,Sim,Obs,X_true,X_mean,X_sd
20,5,1,1,2.655086631421,2.7111518,0.19676907
20,5,1,2,3.7212389963679,3.5843585,0.19673443
20,5,1,3,5.72853363351896,5.607738,0.1962213
20,5,1,4,9.08207789994776,8.94513,0.20260239
20,5,1,5,2.01681931037456,1.7590781,0.26027656
20,5,1,6,8.98389684967697,8.948976,0.20020652
20,5,1,7,9.44675268605351,9.447668,0.20166455
20,5,1,8,6.60797792486846,6.8854475,0.21296509
20,5,1,9,6.2911404389888,6.934764,0.19749819
20,5,1,10,0.617862704675645,0.87268466,0.23097363
20,5,1,11,2.05974574899301,2.0756836,0.20679572
20,5,1,12,1.76556752528995,1.552824,0.25310433
20,5,1,13,6.87022846657783,6.9121714,0.19758478
20,5,1,14,3.84103718213737,3.937793,0.17278992
20,5,1,15,7.69841419998556,7.681916,0.22675592
20,5,1,16,4.97699242085218,4.951637,0.21460167
20,5,1,17,7.17618508264422,7.002272,0.19701783
20,5,1,18,9.91906094830483,10.201651,0.23945984
20,5,1,19,3.80035179434344,3.95217,0.20777287
20,5,1,20,7.77445221319795,7.810718,0.1968122
20,5,2,1,1.8488225992769,1.8885739,0.19991273
20,5,2,2,7.02374035958201,6.9405336,0.21288067
20,5,2,3,5.73326334822923,6.0554757,0.24232844
20,5,2,4,1.68051920365542,1.6000389,0.20089877
20,5,2,5,9.43839338840917,9.417294,0.16906613
20,5,2,6,9.43474958650768,9.515315,0.17747055
20,5,2,7,1.29158976720646,0.721356,0.20881131
20,5,2,8,8.33448815625161,8.139836,0.20214006
20,5,2,9,4.68018515501171,4.4927483,0.2302684
20,5,2,10,5.4998374171555,5.504699,0.25364804
20,5,2,11,5.5267406697385,5.49603,0.2452242
20,5,2,12,2.3889475944452,2.2694347,0.22896823
20,5,2,13,7.60513313114643,7.2496595,0.26871443
20,5,2,14,1.80820100707933,2.131987,0.20648293
20,5,2,15,4.05282181221992,4.1390185,0.24563356
20,5,2,16,8.53548452956602,8.591416,0.17183885
20,5,2,17,9.76398489437997,9.779478,0.1969869
20,5,2,18,2.25825461093336,2.2534301,0.20159127
20,5,2,19,4.44809229113162,4.5494018,0.26391456
20,5,2,20,0.749794247094542,0.3475437,0.23199481
20,5,3,1,1.68041526339948,1.9435008,0.29710358
20,5,3,2,8.07516399072483,8.338766,0.29695204
20,5,3,3,3.84942351374775,4.064403,0.2987918
20,5,3,4,3.27734317164868,3.4204116,0.28879365
20,5,3,5,6.02100674761459,5.9971685,0.29178587
20,5,3,6,6.04394054040313,6.2495465,0.29836026
20,5,3,7,1.24633444240317,1.6498029,0.29570675
20,5,3,8,2.94600924244151,2.8915777,0.28878114
20,5,3,9,5.77609919011593,5.4818826,0.29279464
20,5,3,10,6.30979274399579,6.6477046,0.2956011
20,5,3,11,5.12015897547826,5.305913,0.28618953
20,5,3,12,5.05023914156482,4.970344,0.28708124
20,5,3,13,5.34035353455693,5.7839265,0.28553507
20,5,3,14,5.572494356893,5.3260617,0.2846892
20,5,3,15,8.6791948764585,8.713432,0.3015562
20,5,3,16,8.29708693316206,7.62181,0.29435045
20,5,3,17,1.1144915339537,1.122524,0.29171744
20,5,3,18,7.0368835888803,7.529194,0.2951466
20,5,3,19,8.97488264366984,8.76995,0.29710233
20,5,3,20,2.79732553754002,2.5252306,0.29224744
20,5,4,1,5.85800305008888,5.656453,0.17037243
20,5,4,2,0.0894579570740461,0.48514864,0.26596272
20,5,4,3,2.93739611981437,2.7624106,0.2529718
20,5,4,4,2.77374957920983,2.2911983,0.24460489
20,5,4,5,8.13574214931577,8.436411,0.16263728
20,5,4,6,2.60427771368995,2.408785,0.25715694
20,5,4,7,7.24405892658979,7.172304,0.20850751
20,5,4,8,9.06092151300982,9.426596,0.16543637
20,5,4,9,9.49040221050382,9.583741,0.17816043
20,5,4,10,0.73144469410181,0.6893222,0.27053437
20,5,4,11,7.54675026983023,7.68644,0.2021305
20,5,4,12,2.8600062080659,2.7909312,0.23182158
20,5,4,13,1.00053521571681,1.3125589,0.28265882
20,5,4,14,9.5406877505593,9.411454,0.17843768
20,5,4,15,4.15607118513435,3.9480774,0.26207024
20,5,4,16,4.55102417618036,4.3131843,0.24654809
20,5,4,17,9.71055655973032,9.62498,0.21744919
20,5,4,18,5.83987979684025,5.645046,0.19664915
20,5,4,19,9.6220462443307,9.614264,0.21521483
20,5,4,20,7.6170240319334,7.2432528,0.19792804
20,5,5,1,2.00214452575892,1.6042873,0.19890447
20,5,5,2,6.85218595666811,7.2945094,0.22217414
20,5,5,3,9.1687577450648,9.554972,0.25064796
20,5,5,4,2.84399457275867,3.269137,0.28488278
20,5,5,5,1.04650127934292,1.5726696,0.20524587
20,5,5,6,7.01057459227741,7.3941402,0.23528711
20,5,5,7,5.27959984261543,5.100119,0.23078895
20,5,5,8,8.07935200864449,7.5295343,0.2529215
20,5,5,9,9.565001251176,9.079375,0.2361516
20,5,5,10,1.10453018685803,1.485953,0.23185353
20,5,5,11,2.73284949595109,3.2158885,0.22412884
20,5,5,12,4.90513201802969,4.8786325,0.2601742
20,5,5,13,3.18404018646106,3.1762187,0.23614547
20,5,5,14,5.59172826586291,5.9763536,0.23538145
20,5,5,15,2.62593138730153,2.7996027,0.21201614
20,5,5,16,2.01875211205333,1.7061453,0.17371723
20,5,5,17,3.87525747064501,3.4522188,0.20389381
20,5,5,18,8.87869771569967,8.962,0.26450685
20,5,5,19,5.5492255394347,5.3325076,0.28010875
20,5,5,20,8.42179385246709,8.266688,0.24005641
20,5,6,1,6.06268297648057,5.9414854,0.2518198
20,5,6,2,9.3764197290875,9.49207,0.22358139
20,5,6,3,2.64352067606524,2.2524803,0.21862654
20,5,6,4,3.80093919346109,3.5429308,0.22087759
20,5,6,5,8.07483389042318,8.265006,0.23951417
20,5,6,6,9.78075725259259,9.8522625,0.21310781
20,5,6,7,9.57933716475964,9.388653,0.23028304
20,5,6,8,7.62731856433675,8.14241,0.26405707
20,5,6,9,5.09648534934968,5.1565676,0.23223831
20,5,6,10,0.644767952617258,0.28350455,0.23817366
20,5,6,11,6.43572765169665,6.237768,0.2327964
20,5,6,12,9.15908884257078,9.339092,0.24024172
20,5,6,13,0.952325807884336,0.619518,0.20872533
20,5,6,14,2.95372802997008,2.69339,0.20815304
20,5,6,15,7.6993169891648,7.879596,0.24395546
20,5,6,16,2.55893525900319,2.5229447,0.24350305
20,5,6,17,5.17895726021379,5.133777,0.24647544
20,5,6,18,6.7784993047826,7.1870775,0.21758625
20,5,6,19,1.47227819310501,1.3814418,0.21671052
20,5,6,20,7.00526044936851,7.079215,0.2315975
20,5,7,1,9.88909297855571,9.748629,0.29387987
20,5,7,2,3.97745453286916,4.027657,0.30398604
20,5,7,3,1.15697778761387,1.183842,0.26940948
20,5,7,4,0.697486787103117,0.5541151,0.24264115
20,5,7,5,2.43749390589073,2.3474054,0.24499096
20,5,7,6,7.92010425822809,7.9529214,0.2703071
20,5,7,7,3.40062352828681,3.6267986,0.25094816
20,5,7,8,9.72062500659376,9.297669,0.29420468
20,5,7,9,1.65855484548956,1.5325305,0.24319024
20,5,7,10,4.59103665780276,4.816477,0.2679406
20,5,7,11,1.71748076798394,2.0754666,0.23931706
20,5,7,12,2.31477101799101,2.1913152,0.23065303
20,5,7,13,7.72811945760623,7.611219,0.30014285
20,5,7,14,0.963015416637063,0.5677306,0.26012218
20,5,7,15,4.53447770094499,4.56009,0.24875958
20,5,7,16,0.847007129341364,0.62368995,0.25084844
20,5,7,17,5.6066586705856,5.8796763,0.27728665
20,5,7,18,0.0870459992438555,0.39564422,0.31564003
20,5,7,19,9.85737090697512,9.758108,0.29390737
20,5,7,20,3.16584804095328,3.563616,0.26976335
20,5,8,1,4.66295241378248,5.0682573,0.29723197
20,5,8,2,2.07823317032307,2.3558788,0.28065354
20,5,8,3,7.99657957628369,7.8352623,0.25226206
20,5,8,4,6.51871317764744,6.3386097,0.23687182
20,5,8,5,3.21509178960696,3.6221669,0.28518978
20,5,8,6,7.18927504029125,7.3879304,0.25799286
20,5,8,7,2.90873386897147,3.1086667,0.29339847
20,5,8,8,9.32269813260064,8.994446,0.2957059
20,5,8,9,7.69146954407915,7.787396,0.25598672
20,5,8,10,6.44491136772558,6.350593,0.24423449
20,5,8,11,4.57044888520613,4.687529,0.29708323
20,5,8,12,0.893010105937719,0.5909005,0.28841403
20,5,8,13,4.32391373440623,4.423818,0.2834119
20,5,8,14,5.44962115585804,5.3358974,0.26479608
20,5,8,15,1.38224346097559,1.5847311,0.29492033
20,5,8,16,9.27812252193689,8.642224,0.28249198
20,5,8,17,0.0130172143690288,-0.02617305,0.29790476
20,5,8,18,2.64458863530308,2.7456884,0.27667668
20,5,8,19,2.76532246964052,2.8443246,0.27678445
20,5,8,20,5.21107041742653,4.891114,0.24526823
20,5,9,1,2.21601397264749,2.3593972,0.20361611
20,5,9,2,0.242339097894728,0.01387746,0.23547076
20,5,9,3,2.07119019469246,2.1631618,0.24641187
20,5,9,4,2.15733549557626,2.1295862,0.22066844
20,5,9,5,4.43723587784916,4.617999,0.23293994
20,5,9,6,1.34076150367036,0.91481173,0.20774862
20,5,9,7,3.90657789772376,3.9415627,0.24016267
20,5,9,8,3.69315771851689,3.3664088,0.24416259
20,5,9,9,6.68692956678569,7.0051527,0.23468834
20,5,9,10,9.92109965998679,9.9081545,0.2767829
