N,Dims,Sim,Obs,X_true,X_mean,X_sd
20,5,1,1,2.655086631421,2.8386834,0.19037996
20,5,1,2,3.7212389963679,3.791309,0.17136021
20,5,1,3,5.72853363351896,5.854677,0.17710878
20,5,1,4,9.08207789994776,8.922595,0.21621111
20,5,1,5,2.01681931037456,1.635575,0.26071018
20,5,1,6,8.98389684967697,8.753571,0.22749472
20,5,1,7,9.44675268605351,9.462497,0.18251982
20,5,1,8,6.60797792486846,6.6729116,0.16295561
20,5,1,9,6.2911404389888,6.5086217,0.16092916
20,5,1,10,0.617862704675645,0.8317754,0.2807446
20,5,1,11,2.05974574899301,1.9157488,0.264868
20,5,1,12,1.76556752528995,1.6740036,0.24458703
20,5,1,13,6.87022846657783,6.988339,0.1569292
20,5,1,14,3.84103718213737,4.0907784,0.18245748
20,5,1,15,7.69841419998556,7.6356974,0.19726814
20,5,1,16,4.97699242085218,4.861074,0.21315776
20,5,1,17,7.17618508264422,7.4200835,0.18079168
20,5,1,18,9.91906094830483,10.210686,0.20675959
20,5,1,19,3.80035179434344,3.7443752,0.1650039
20,5,1,20,7.77445221319795,7.9655795,0.22897528
20,5,2,1,1.8488225992769,2.179855,0.2968128
20,5,2,2,7.02374035958201,6.9130344,0.2193687
20,5,2,3,5.73326334822923,6.132676,0.21555117
20,5,2,4,1.68051920365542,1.5850796,0.2723663
20,5,2,5,9.43839338840917,9.176961,0.20173581
20,5,2,6,9.43474958650768,9.579074,0.1927068
20,5,2,7,1.29158976720646,0.7665575,0.23628438
20,5,2,8,8.33448815625161,8.073631,0.23752663
20,5,2,9,4.68018515501171,4.6516485,0.2477646
20,5,2,10,5.4998374171555,5.2636757,0.31073925
20,5,2,11,5.5267406697385,5.3587437,0.23897465
20,5,2,12,2.3889475944452,2.0259993,0.26140344
20,5,2,13,7.60513313114643,7.429649,0.20466901
20,5,2,14,1.80820100707933,1.9827743,0.23260577
20,5,2,15,4.05282181221992,4.091101,0.22786544
20,5,2,16,8.53548452956602,8.828999,0.20261157
20,5,2,17,9.76398489437997,9.815462,0.19507433
20,5,2,18,2.25825461093336,1.9789574,0.26650727
20,5,2,19,4.44809229113162,4.599458,0.2245081
20,5,2,20,0.749794247094542,0.6289082,0.24342205
20,5,3,1,1.68041526339948,1.817557,0.19404374
20,5,3,2,8.07516399072483,8.005263,0.21498562
20,5,3,3,3.84942351374775,4.180056,0.24718231
20,5,3,4,3.27734317164868,3.462101,0.21195956
20,5,3,5,6.02100674761459,5.9689026,0.21412794
20,5,3,6,6.04394054040313,6.0849237,0.19894701
20,5,3,7,1.24633444240317,1.6228721,0.19362423
20,5,3,8,2.94600924244151,2.9306,0.20138994
20,5,3,9,5.77609919011593,5.794867,0.19890058
20,5,3,10,6.30979274399579,6.687466,0.21338765
20,5,3,11,5.12015897547826,5.0511813,0.23343636
20,5,3,12,5.05023914156482,4.9566045,0.2532942
20,5,3,13,5.34035353455693,5.3346233,0.2036387
20,5,3,14,5.572494356893,5.5788846,0.21691257
20,5,3,15,8.6791948764585,8.711057,0.2071908
20,5,3,16,8.29708693316206,7.811306,0.33053747
20,5,3,17,1.1144915339537,1.2576268,0.2658213
20,5,3,18,7.0368835888803,7.46253,0.25449365
20,5,3,19,8.97488264366984,9.114728,0.20725463
20,5,3,20,2.79732553754002,2.5150251,0.2014231
20,5,4,1,5.85800305008888,5.737171,0.22967356
20,5,4,2,0.0894579570740461,0.09243316,0.21313512
20,5,4,3,2.93739611981437,2.6931734,0.19716989
20,5,4,4,2.77374957920983,2.3192658,0.23825596
20,5,4,5,8.13574214931577,8.344151,0.25586563
20,5,4,6,2.60427771368995,2.586695,0.22654395
20,5,4,7,7.24405892658979,7.300262,0.24630162
20,5,4,8,9.06092151300982,9.182396,0.2164641
20,5,4,9,9.49040221050382,9.344391,0.1888117
20,5,4,10,0.73144469410181,0.852168,0.24894348
20,5,4,11,7.54675026983023,8.004291,0.2778145
20,5,4,12,2.8600062080659,2.6368432,0.21012509
20,5,4,13,1.00053521571681,1.3694777,0.25798312
20,5,4,14,9.5406877505593,9.545742,0.18835916
20,5,4,15,4.15607118513435,4.010924,0.2310511
20,5,4,16,4.55102417618036,4.457393,0.2615235
20,5,4,17,9.71055655973032,9.534184,0.20169273
20,5,4,18,5.83987979684025,5.656501,0.23123546
20,5,4,19,9.6220462443307,9.610856,0.20487969
20,5,4,20,7.6170240319334,7.243792,0.21775398
20,5,5,1,2.00214452575892,2.0473635,0.2449668
20,5,5,2,6.85218595666811,7.0398574,0.16571468
20,5,5,3,9.1687577450648,9.358936,0.16529708
20,5,5,4,2.84399457275867,2.9598427,0.16353998
20,5,5,5,1.04650127934292,1.5477471,0.3416002
20,5,5,6,7.01057459227741,6.9902105,0.1600787
20,5,5,7,5.27959984261543,4.9815307,0.24586877
20,5,5,8,8.07935200864449,7.8317704,0.18926133
20,5,5,9,9.565001251176,9.553897,0.15111126
20,5,5,10,1.10453018685803,1.4204656,0.24975902
20,5,5,11,2.73284949595109,2.8412876,0.18291755
20,5,5,12,4.90513201802969,4.8524184,0.24216223
20,5,5,13,3.18404018646106,3.122637,0.17146498
