N,Dims,Sim,Obs,X_true,X_mean,X_sd
20,5,1,1,2.655086631421,3.0683002,0.3004059
20,5,1,2,3.7212389963679,3.690186,0.3000431
20,5,1,3,5.72853363351896,5.848299,0.2994401
20,5,1,4,9.08207789994776,9.067447,0.29996753
20,5,1,5,2.01681931037456,1.6074164,0.2998653
20,5,1,6,8.98389684967697,8.860485,0.3000045
20,5,1,7,9.44675268605351,9.331059,0.29983467
20,5,1,8,6.60797792486846,6.590498,0.29991618
20,5,1,9,6.2911404389888,6.6252704,0.30017233
20,5,1,10,0.617862704675645,0.8441346,0.2999824
20,5,1,11,2.05974574899301,2.01434,0.29992893
20,5,1,12,1.76556752528995,1.6900387,0.2999888
20,5,1,13,6.87022846657783,7.078683,0.29990792
20,5,1,14,3.84103718213737,4.005487,0.29998887
20,5,1,15,7.69841419998556,7.4857855,0.29965302
20,5,1,16,4.97699242085218,4.7627134,0.29998362
20,5,1,17,7.17618508264422,7.2802796,0.3004096
20,5,1,18,9.91906094830483,10.152955,0.2999031
20,5,1,19,3.80035179434344,3.7635024,0.30004695
20,5,1,20,7.77445221319795,8.031003,0.2999246
20,5,2,1,1.8488225992769,2.07935,0.29955208
20,5,2,2,7.02374035958201,7.119886,0.29951242
20,5,2,3,5.73326334822923,6.079601,0.3011257
20,5,2,4,1.68051920365542,1.5957394,0.29924232
20,5,2,5,9.43839338840917,9.203177,0.29963335
20,5,2,6,9.43474958650768,9.271347,0.29909778
20,5,2,7,1.29158976720646,0.7797445,0.299625
20,5,2,8,8.33448815625161,8.046405,0.29992637
20,5,2,9,4.68018515501171,4.489442,0.2996297
20,5,2,10,5.4998374171555,5.4249587,0.29960936
20,5,2,11,5.5267406697385,5.4166703,0.30006596
20,5,2,12,2.3889475944452,1.8325632,0.29958734
20,5,2,13,7.60513313114643,7.327151,0.29963166
20,5,2,14,1.80820100707933,2.3853846,0.29990116
20,5,2,15,4.05282181221992,4.228297,0.29935172
20,5,2,16,8.53548452956602,9.112931,0.30006966
20,5,2,17,9.76398489437997,9.672031,0.29976228
20,5,2,18,2.25825461093336,2.2582436,0.29966074
20,5,2,19,4.44809229113162,4.3710036,0.29924822
20,5,2,20,0.749794247094542,0.38797078,0.29993337
20,5,3,1,1.68041526339948,1.9645811,0.2989875
20,5,3,2,8.07516399072483,8.324164,0.2998995
20,5,3,3,3.84942351374775,4.054369,0.2975089
20,5,3,4,3.27734317164868,3.4948256,0.29986516
20,5,3,5,6.02100674761459,5.9163213,0.29996273
20,5,3,6,6.04394054040313,6.2500815,0.30056274
20,5,3,7,1.24633444240317,1.6339031,0.30000862
20,5,3,8,2.94600924244151,2.9664407,0.29982144
20,5,3,9,5.77609919011593,5.479292,0.29982853
20,5,3,10,6.30979274399579,6.5328984,0.2995674
20,5,3,11,5.12015897547826,5.365726,0.29974857
20,5,3,12,5.05023914156482,4.9687676,0.30020988
20,5,3,13,5.34035353455693,5.8621435,0.29949164
20,5,3,14,5.572494356893,5.338529,0.3005914
20,5,3,15,8.6791948764585,8.783329,0.29967406
20,5,3,16,8.29708693316206,7.6252484,0.2998074
20,5,3,17,1.1144915339537,1.0576135,0.2993576
20,5,3,18,7.0368835888803,7.364633,0.29984114
20,5,3,19,8.97488264366984,8.831514,0.29943764
20,5,3,20,2.79732553754002,2.5346708,0.29959705
20,5,4,1,5.85800305008888,5.9068723,0.30063373
20,5,4,2,0.0894579570740461,0.4071865,0.29990435
20,5,4,3,2.93739611981437,2.7158866,0.29951015
20,5,4,4,2.77374957920983,2.3332298,0.29997167
20,5,4,5,8.13574214931577,8.390311,0.29948652
20,5,4,6,2.60427771368995,2.4893563,0.29971027
20,5,4,7,7.24405892658979,7.171464,0.30026978
20,5,4,8,9.06092151300982,9.341498,0.30000013
20,5,4,9,9.49040221050382,9.3499975,0.2999109
20,5,4,10,0.73144469410181,0.5390369,0.29995912
20,5,4,11,7.54675026983023,7.9443765,0.30024284
20,5,4,12,2.8600062080659,2.91876,0.3003151
20,5,4,13,1.00053521571681,1.3862592,0.2999421
20,5,4,14,9.5406877505593,9.035182,0.29997015
20,5,4,15,4.15607118513435,3.907521,0.3002439
20,5,4,16,4.55102417618036,4.288935,0.30046573
20,5,4,17,9.71055655973032,9.737655,0.2999756
20,5,4,18,5.83987979684025,5.7302775,0.3002644
20,5,4,19,9.6220462443307,9.838555,0.2999284
20,5,4,20,7.6170240319334,7.074553,0.29994228
20,5,5,1,2.00214452575892,2.1029358,0.30020267
20,5,5,2,6.85218595666811,7.1806726,0.29998147
20,5,5,3,9.1687577450648,9.836688,0.30005693
20,5,5,4,2.84399457275867,3.2168648,0.30047247
20,5,5,5,1.04650127934292,1.4836566,0.2996696
20,5,5,6,7.01057459227741,7.2910275,0.30012438
20,5,5,7,5.27959984261543,4.978379,0.29981825
20,5,5,8,8.07935200864449,7.4636526,0.2997024
20,5,5,9,9.565001251176,9.042173,0.2997414
20,5,5,10,1.10453018685803,1.055748,0.29978207
20,5,5,11,2.73284949595109,3.20576,0.30005157
20,5,5,12,4.90513201802969,4.656887,0.3000735
20,5,5,13,3.18404018646106,3.1650054,0.29963773
20,5,5,14,5.59172826586291,6.164616,0.30095205
20,5,5,15,2.62593138730153,2.4996831,0.30163568
20,5,5,16,2.01875211205333,2.1941147,0.29992315
20,5,5,17,3.87525747064501,3.601727,0.29985318
20,5,5,18,8.87869771569967,8.742737,0.30003774
20,5,5,19,5.5492255394347,5.3356404,0.29969287
20,5,5,20,8.42179385246709,8.389147,0.30042914
20,5,6,1,6.06268297648057,5.8550386,0.29995745
20,5,6,2,9.3764197290875,9.517529,0.29977378
