N,Dims,Sim,Obs,X_true,X_mean,X_sd
20,5,1,1,2.655086631421,2.6879704,0.1773807
20,5,1,2,3.7212389963679,3.5365818,0.17396417
20,5,1,3,5.72853363351896,5.6316133,0.18241447
20,5,1,4,9.08207789994776,8.883387,0.20354362
20,5,1,5,2.01681931037456,1.7896671,0.27291483
20,5,1,6,8.98389684967697,8.918674,0.19628026
20,5,1,7,9.44675268605351,9.559386,0.18918133
20,5,1,8,6.60797792486846,6.893652,0.18710978
20,5,1,9,6.2911404389888,6.8646545,0.17680626
20,5,1,10,0.617862704675645,0.8772701,0.22881179
20,5,1,11,2.05974574899301,1.9552786,0.22270639
20,5,1,12,1.76556752528995,1.6214712,0.21201432
20,5,1,13,6.87022846657783,6.8498673,0.19926637
20,5,1,14,3.84103718213737,3.9848478,0.17172724
20,5,1,15,7.69841419998556,7.645654,0.20336659
20,5,1,16,4.97699242085218,5.020866,0.20349602
20,5,1,17,7.17618508264422,7.197178,0.1842304
20,5,1,18,9.91906094830483,10.130761,0.22591628
20,5,1,19,3.80035179434344,3.9583154,0.19961798
20,5,1,20,7.77445221319795,7.78759,0.19796233
20,5,2,1,1.8488225992769,1.6642452,0.11294384
20,5,2,2,7.02374035958201,6.9044456,0.22457819
20,5,2,3,5.73326334822923,6.034223,0.20318982
20,5,2,4,1.68051920365542,1.6472542,0.13575007
20,5,2,5,9.43839338840917,9.386055,0.11086991
20,5,2,6,9.43474958650768,9.540046,0.13573593
20,5,2,7,1.29158976720646,0.928525,0.13733636
20,5,2,8,8.33448815625161,8.282128,0.12596446
20,5,2,9,4.68018515501171,4.3995395,0.19405656
20,5,2,10,5.4998374171555,5.4893165,0.22411811
20,5,2,11,5.5267406697385,5.48941,0.17421998
20,5,2,12,2.3889475944452,2.3871999,0.1415099
20,5,2,13,7.60513313114643,7.1163507,0.2136127
20,5,2,14,1.80820100707933,1.9262654,0.11818583
20,5,2,15,4.05282181221992,4.1416936,0.1844194
20,5,2,16,8.53548452956602,8.650906,0.13780564
20,5,2,17,9.76398489437997,9.791474,0.15819299
20,5,2,18,2.25825461093336,2.2428584,0.13651235
20,5,2,19,4.44809229113162,4.7007813,0.20782223
20,5,2,20,0.749794247094542,0.37174258,0.18741018
20,5,3,1,1.68041526339948,1.9713746,0.29801285
20,5,3,2,8.07516399072483,8.316132,0.30089813
20,5,3,3,3.84942351374775,4.041714,0.2967996
20,5,3,4,3.27734317164868,3.4436212,0.29746822
20,5,3,5,6.02100674761459,5.9254,0.29899982
20,5,3,6,6.04394054040313,6.228969,0.30225784
20,5,3,7,1.24633444240317,1.7093084,0.29698527
20,5,3,8,2.94600924244151,2.8715453,0.29464167
20,5,3,9,5.77609919011593,5.4910946,0.2967365
20,5,3,10,6.30979274399579,6.600852,0.2959389
20,5,3,11,5.12015897547826,5.339099,0.2987385
20,5,3,12,5.05023914156482,4.9516563,0.2963229
20,5,3,13,5.34035353455693,5.858278,0.29773644
20,5,3,14,5.572494356893,5.365785,0.29656294
20,5,3,15,8.6791948764585,8.74207,0.2971582
20,5,3,16,8.29708693316206,7.651781,0.29580715
20,5,3,17,1.1144915339537,1.1125139,0.29777545
20,5,3,18,7.0368835888803,7.4304595,0.29928136
20,5,3,19,8.97488264366984,8.813164,0.2952901
20,5,3,20,2.79732553754002,2.4742134,0.30077365
20,5,4,1,5.85800305008888,5.6177845,0.16222061
20,5,4,2,0.0894579570740461,0.76699364,0.27021426
20,5,4,3,2.93739611981437,2.769974,0.23542796
20,5,4,4,2.77374957920983,2.214761,0.25850767
20,5,4,5,8.13574214931577,8.421249,0.1961206
20,5,4,6,2.60427771368995,2.3429613,0.24810672
20,5,4,7,7.24405892658979,7.212249,0.20116119
20,5,4,8,9.06092151300982,9.41327,0.12869726
20,5,4,9,9.49040221050382,9.553722,0.13524114
20,5,4,10,0.73144469410181,0.5990322,0.244034
20,5,4,11,7.54675026983023,7.8930945,0.23491672
20,5,4,12,2.8600062080659,2.684812,0.23933406
20,5,4,13,1.00053521571681,1.2147382,0.2992421
20,5,4,14,9.5406877505593,9.418976,0.13170639
20,5,4,15,4.15607118513435,3.9973106,0.26778364
20,5,4,16,4.55102417618036,4.364234,0.25308597
20,5,4,17,9.71055655973032,9.600583,0.14686105
20,5,4,18,5.83987979684025,5.6362867,0.1595645
20,5,4,19,9.6220462443307,9.529794,0.13836671
20,5,4,20,7.6170240319334,7.280971,0.188698
20,5,5,1,2.00214452575892,1.6138893,0.10579096
20,5,5,2,6.85218595666811,7.228715,0.20006979
20,5,5,3,9.1687577450648,9.2499075,0.24486469
20,5,5,4,2.84399457275867,3.3303022,0.27845943
20,5,5,5,1.04650127934292,1.5887281,0.10980371
20,5,5,6,7.01057459227741,7.397552,0.21490675
20,5,5,7,5.27959984261543,5.063182,0.1916969
20,5,5,8,8.07935200864449,7.6269937,0.21657045
20,5,5,9,9.565001251176,9.123393,0.18380718
20,5,5,10,1.10453018685803,1.6260878,0.12204523
20,5,5,11,2.73284949595109,3.097548,0.23126023
20,5,5,12,4.90513201802969,4.8286667,0.24409603
20,5,5,13,3.18404018646106,3.147313,0.19676511
20,5,5,14,5.59172826586291,6.0424705,0.22640793
20,5,5,15,2.62593138730153,2.5734043,0.18427604
20,5,5,16,2.01875211205333,1.7145307,0.12885217
20,5,5,17,3.87525747064501,3.4195127,0.20372571
20,5,5,18,8.87869771569967,9.030491,0.20575176
20,5,5,19,5.5492255394347,5.3691473,0.26424077
20,5,5,20,8.42179385246709,8.519222,0.24451095
20,5,6,1,6.06268297648057,5.7857084,0.25007266
20,5,6,2,9.3764197290875,9.504383,0.21631584
20,5,6,3,2.64352067606524,2.1884112,0.2209243
20,5,6,4,3.80093919346109,3.2921712,0.2455671
20,5,6,5,8.07483389042318,8.3142185,0.24027579
20,5,6,6,9.78075725259259,9.875945,0.19915226
20,5,6,7,9.57933716475964,9.414458,0.22273931
20,5,6,8,7.62731856433675,8.059557,0.25288397
20,5,6,9,5.09648534934968,5.15949,0.26703587
20,5,6,10,0.644767952617258,0.30408898,0.20526698
20,5,6,11,6.43572765169665,6.2730236,0.25965053
20,5,6,12,9.15908884257078,9.25934,0.22893186
20,5,6,13,0.952325807884336,0.5744929,0.18823588
20,5,6,14,2.95372802997008,2.8854363,0.21590726
20,5,6,15,7.6993169891648,7.9292693,0.22076719
20,5,6,16,2.55893525900319,2.6627474,0.24611035
20,5,6,17,5.17895726021379,5.142732,0.26408827
20,5,6,18,6.7784993047826,7.132547,0.22970743
20,5,6,19,1.47227819310501,1.3698897,0.22262157
20,5,6,20,7.00526044936851,7.255985,0.23251846
20,5,7,1,9.88909297855571,9.888419,0.25722262
20,5,7,2,3.97745453286916,4.133697,0.2744387
20,5,7,3,1.15697778761387,1.0724913,0.24482584
20,5,7,4,0.697486787103117,0.62584114,0.22051421
20,5,7,5,2.43749390589073,2.4516506,0.21197048
20,5,7,6,7.92010425822809,7.899165,0.26591912
20,5,7,7,3.40062352828681,3.5884457,0.23145238
20,5,7,8,9.72062500659376,9.244953,0.27305487
20,5,7,9,1.65855484548956,1.4391255,0.2209429
20,5,7,10,4.59103665780276,4.881743,0.27981582
20,5,7,11,1.71748076798394,2.0294425,0.22427012
20,5,7,12,2.31477101799101,2.1790943,0.21317223
20,5,7,13,7.72811945760623,7.6162004,0.28794122
20,5,7,14,0.963015416637063,0.6226886,0.24985541
