t,X_mean,X_sd
0.942,0.9416502,0.033208095
0.959,0.9989491,0.033839848
0.917,0.9225203,0.041001618
0.846,0.8152156,0.030473396
0.184,0.16820604,0.028875649
0.691,0.696582,0.033180073
0.178,0.16085352,0.027530551
0.409,0.39830422,0.030012669
0.983,0.9458176,0.028461352
0.02,0.06450243,0.0283381
0.132,0.114749596,0.023617059
0.016,0.037806958,0.029805133
0.955,0.94310784,0.029167585
0.979,0.95964485,0.029547287
0.191,0.2654659,0.02368603
0.011,0.0059040193,0.027919492
0.925999999999999,0.9177046,0.028809372
0.002,0.024695428,0.027518488
0.935,0.91967595,0.033313684
0.12,0.17692764,0.02224703
0.909,0.8694838,0.0350887
0.900999999999999,0.90693784,0.031646095
0.012,0.038121924,0.028975502
0.048,0.09728863,0.032888032
0.838,0.8219236,0.032608524
0.013,0.011834732,0.025543004
0.004,0.027872773,0.024263429
0.503,0.50017357,0.031214407
0.013,0.030186323,0.026459169
0.905,0.91715056,0.029473707
0.640999999999999,0.60569817,0.030934986
0.943,0.94849694,0.033742692
0.367,0.42156464,0.028083
0.912,0.9085414,0.03453984
0.945,1.0445988,0.03194216
0.948,0.9347245,0.03404581
0.815,0.8686071,0.035441093
0.72,0.65310514,0.035013895
0.472,0.47328672,0.030331833
0.031,0.064458236,0.03127893
0.925,0.9057056,0.03155455
0.878,0.8406539,0.032266766
0.939,0.9268907,0.02792029
0.954,0.9558645,0.031761874
0.565,0.5608041,0.032288514
0.712,0.7269738,0.03077015
0.853,0.84634906,0.033785142
0.904,0.8618473,0.0365719
0.732,0.68101764,0.040428646
0.932999999999999,0.9159735,0.034556173
0.782,0.77797395,0.036531128
0.044,0.08690215,0.026611783
0.382999999999999,0.36461988,0.027449634
0.687,0.6535967,0.03333097
0.978,1.0029571,0.032606985
0.922,0.9290107,0.030753918
0.664,0.63609296,0.032523364
0.941,0.9360523,0.02937064
0.898,0.9249601,0.03058062
0.426,0.45273116,0.02923576
0.01,0.0033830712,0.02964747
0.034,0.09051812,0.02791088
0.947,0.95992327,0.032054096
0.055,0.17318276,0.020023273
0.96,0.9323315,0.030900752
0.311,0.3489782,0.032015216
0.108,0.14540409,0.022982506
0.932,0.93187654,0.033412628
0.602,0.595978,0.03362097
0.047,0.07017993,0.028432833
0.815,0.8049972,0.032957982
0.085,0.16432767,0.021123156
0.89,0.9023679,0.030349093
0.045,0.053752854,0.03120904
0.904,0.87390685,0.033568505
0.885,0.87824917,0.03341211
0.841,0.8108972,0.031885333
0.439,0.4551721,0.029797724
0.847,0.8867327,0.032880243
0.033,0.019708868,0.035659514
0.863,0.8795643,0.03214957
0.506,0.4973529,0.032996096
0.001,-0.0049366932,0.028154366
0.231999999999999,0.2541197,0.026825042
0.991,0.97620314,0.029578427
0.406,0.42846203,0.03300147
0.864,0.8633048,0.035176683
0.660999999999999,0.60385364,0.03348778
0.462,0.48152837,0.03042488
0.858,0.8699383,0.035342872
0.795999999999999,0.7821486,0.032937244
0.043,0.07183314,0.028808672
0.408,0.42622668,0.030548576
0.017,0.051576093,0.0307068
0.758,0.7891404,0.049224608
0.958,0.92541826,0.033946052
0.949,0.941237,0.02997364
0.937,1.015651,0.034157872
0.716,0.6462446,0.03560444
0.087,0.10941909,0.022392316
0.972,0.9456667,0.027138498
0.907999999999999,0.90301,0.031774066
0.392999999999999,0.44133675,0.027100362
0.880999999999999,0.8713746,0.033917032
0.088,0.15658756,0.024118697
0.066,0.066021904,0.02721343
0.845,0.8211438,0.033256926
0.098,0.1308224,0.022577276
0.890999999999999,0.8673194,0.037748232
0.18,0.21732184,0.02156181
0.0559999999999999,0.044133835,0.030457525
0.52,0.53295916,0.032047648
0.862,0.8428447,0.034923304
0.669,0.66183287,0.03502623
0.825,0.81751305,0.034289192
0.772,0.7784556,0.035382785
0.965,0.99735576,0.03190815
0.854,0.8937376,0.030796498
0.737,0.7467725,0.029710729
0.075,0.10424242,0.024094552
0.868,0.8857868,0.0333246
0.387999999999999,0.33748403,0.026237505
0.604,0.6600747,0.02918066
0.719,0.7329255,0.032371536
0.38,0.3883648,0.029527977
0.083,0.13495083,0.024243398
0.315,0.38227242,0.029743934
0.144,0.11325264,0.024033397
0.734,0.7409421,0.03214041
0.822,0.820029,0.0350043
0.733,0.7383973,0.031895295
0.265,0.23101193,0.046677895
0.879,0.8711449,0.036547277
0.062,0.04945063,0.027916059
0.804,0.7930827,0.03297672
0.897,0.89651626,0.0324297
0.869,0.82919556,0.036079403
0.089,0.08585424,0.02604749
0.753,0.785379,0.049432434
0.529,0.5282592,0.0329769
0.552999999999999,0.55719936,0.031391405
0.309,0.38850668,0.029402819
0.8,0.78209203,0.033870738
0.163,0.23157229,0.020267276
0.813,0.818719,0.035332907
0.064,0.06605411,0.025584737
0.67,0.6086113,0.03280281
0.726,0.7302412,0.034080718
0.188,0.1459217,0.024015121
0.445,0.42687148,0.031226413
0.561,0.56442034,0.031703316
0.849,0.85776097,0.03390809
0.709,0.6422693,0.03313456
0.445,0.4543253,0.032094505
0.0289999999999999,0.02899902,0.032308243
0.347,0.36454815,0.028865166
0.078,0.1003393,0.026507718
0.461,0.48052981,0.031504944
0.917,0.9891684,0.03820891
0.874,0.9152998,0.03357003
0.760999999999999,0.7703006,0.042447846
0.501,0.5149146,0.030844113
0.034,0.0385908,0.029224768
0.6,0.5886289,0.031296704
0.802999999999999,0.8198976,0.03797548
0.038,0.07553764,0.029732462
0.536,0.5302799,0.031239973
0.832,0.8250087,0.03379032
0.458999999999999,0.45027882,0.032178424
0.418,0.4370416,0.028958
0.741,0.7317904,0.04055791
0.894,0.88475597,0.035044022
0.797999999999999,0.77295995,0.029775629
0.835,0.8595211,0.0346979
0.715,0.71785945,0.033606064
0.494,0.491992,0.032085523
0.78,0.7808341,0.034451887
0.154,0.16072996,0.022338357
0.345,0.32114682,0.026773902
0.13,0.15814461,0.021816099
0.725,0.72092605,0.03511368
0.322999999999999,0.31000483,0.027957028
0.670999999999999,0.62612164,0.0318043
0.922999999999999,0.934026,0.032966737
0.061,0.039342556,0.025404483
0.851,0.85498714,0.037787557
0.684,0.69132304,0.030137923
