N,Dims,Sim,Obs,X_true,X_mean,X_sd
20,5,1,1,2.655086631421,2.745248,0.21365313
20,5,1,2,3.7212389963679,3.49311,0.18679981
20,5,1,3,5.72853363351896,5.581703,0.18775514
20,5,1,4,9.08207789994776,8.90679,0.2167754
20,5,1,5,2.01681931037456,1.76074,0.28500476
20,5,1,6,8.98389684967697,8.893279,0.21773575
20,5,1,7,9.44675268605351,9.478744,0.19403856
20,5,1,8,6.60797792486846,6.9205046,0.17655893
20,5,1,9,6.2911404389888,6.9106445,0.19084133
20,5,1,10,0.617862704675645,0.9729698,0.2762786
20,5,1,11,2.05974574899301,1.9210843,0.2264644
20,5,1,12,1.76556752528995,1.5903037,0.2303106
20,5,1,13,6.87022846657783,6.923643,0.21219686
20,5,1,14,3.84103718213737,3.956515,0.17060189
20,5,1,15,7.69841419998556,7.6049323,0.21146825
20,5,1,16,4.97699242085218,4.9993577,0.20316431
20,5,1,17,7.17618508264422,7.2446904,0.20547396
20,5,1,18,9.91906094830483,10.174825,0.22896977
20,5,1,19,3.80035179434344,3.9648812,0.17573014
20,5,1,20,7.77445221319795,7.753635,0.19443367
20,5,2,1,1.8488225992769,1.7580853,0.14771023
20,5,2,2,7.02374035958201,6.890329,0.21733412
20,5,2,3,5.73326334822923,6.062869,0.22587128
20,5,2,4,1.68051920365542,1.635538,0.15028106
20,5,2,5,9.43839338840917,9.39932,0.12561439
20,5,2,6,9.43474958650768,9.568691,0.13257551
20,5,2,7,1.29158976720646,0.83397216,0.14269266
20,5,2,8,8.33448815625161,8.256716,0.16184103
20,5,2,9,4.68018515501171,4.6102376,0.20252511
20,5,2,10,5.4998374171555,5.471584,0.24619873
20,5,2,11,5.5267406697385,5.492101,0.19836487
20,5,2,12,2.3889475944452,2.3647456,0.16386959
20,5,2,13,7.60513313114643,6.989975,0.19453445
20,5,2,14,1.80820100707933,1.9779903,0.15528305
20,5,2,15,4.05282181221992,3.9657893,0.21822304
20,5,2,16,8.53548452956602,8.621955,0.13927355
20,5,2,17,9.76398489437997,9.82644,0.14246587
20,5,2,18,2.25825461093336,2.2964752,0.15783042
20,5,2,19,4.44809229113162,4.6928263,0.23741925
20,5,2,20,0.749794247094542,0.3422295,0.18186589
20,5,3,1,1.68041526339948,1.9726584,0.29994342
20,5,3,2,8.07516399072483,8.310379,0.29932487
20,5,3,3,3.84942351374775,4.064932,0.29814672
20,5,3,4,3.27734317164868,3.46023,0.29889032
20,5,3,5,6.02100674761459,5.9269505,0.3002248
20,5,3,6,6.04394054040313,6.235127,0.2973047
20,5,3,7,1.24633444240317,1.6837717,0.29953313
20,5,3,8,2.94600924244151,2.9084485,0.30513677
20,5,3,9,5.77609919011593,5.489736,0.29868135
20,5,3,10,6.30979274399579,6.583439,0.29914412
20,5,3,11,5.12015897547826,5.345014,0.2998013
20,5,3,12,5.05023914156482,4.951826,0.2988921
20,5,3,13,5.34035353455693,5.862247,0.29964432
20,5,3,14,5.572494356893,5.351336,0.3000964
20,5,3,15,8.6791948764585,8.763985,0.29866147
20,5,3,16,8.29708693316206,7.6360745,0.29857475
20,5,3,17,1.1144915339537,1.0824535,0.30069157
20,5,3,18,7.0368835888803,7.392074,0.29931313
20,5,3,19,8.97488264366984,8.836476,0.2986166
20,5,3,20,2.79732553754002,2.4956815,0.30111724
20,5,4,1,5.85800305008888,5.667574,0.15661405
20,5,4,2,0.0894579570740461,0.70328134,0.27880162
20,5,4,3,2.93739611981437,2.7586713,0.23722842
20,5,4,4,2.77374957920983,2.184312,0.23744608
20,5,4,5,8.13574214931577,8.423637,0.21113226
20,5,4,6,2.60427771368995,2.3410168,0.24038468
20,5,4,7,7.24405892658979,7.2538247,0.21021335
20,5,4,8,9.06092151300982,9.428884,0.12675945
20,5,4,9,9.49040221050382,9.500897,0.1272886
20,5,4,10,0.73144469410181,0.62428355,0.24675848
20,5,4,11,7.54675026983023,7.8831277,0.22184803
20,5,4,12,2.8600062080659,2.6960967,0.22527203
20,5,4,13,1.00053521571681,1.3157414,0.33666888
20,5,4,14,9.5406877505593,9.477109,0.12322603
20,5,4,15,4.15607118513435,3.9934375,0.26578012
20,5,4,16,4.55102417618036,4.352741,0.24362053
20,5,4,17,9.71055655973032,9.564159,0.13240512
20,5,4,18,5.83987979684025,5.5554748,0.17115626
20,5,4,19,9.6220462443307,9.539007,0.12842984
20,5,4,20,7.6170240319334,7.269502,0.19486137
20,5,5,1,2.00214452575892,1.6407568,0.11307029
20,5,5,2,6.85218595666811,7.1714687,0.19660033
20,5,5,3,9.1687577450648,9.198698,0.22070579
20,5,5,4,2.84399457275867,3.298803,0.28871644
20,5,5,5,1.04650127934292,1.600532,0.12017149
20,5,5,6,7.01057459227741,7.367314,0.20757958
20,5,5,7,5.27959984261543,5.072346,0.18392773
20,5,5,8,8.07935200864449,7.6494346,0.2091767
20,5,5,9,9.565001251176,9.113151,0.19359954
20,5,5,10,1.10453018685803,1.5543638,0.12744857
20,5,5,11,2.73284949595109,3.1219206,0.23304868
20,5,5,12,4.90513201802969,4.7698674,0.23359445
20,5,5,13,3.18404018646106,3.0971863,0.20998116
20,5,5,14,5.59172826586291,6.132296,0.21554855
20,5,5,15,2.62593138730153,2.6484756,0.20718426
20,5,5,16,2.01875211205333,1.7107437,0.11528577
20,5,5,17,3.87525747064501,3.4155486,0.18500668
20,5,5,18,8.87869771569967,9.008428,0.21567477
20,5,5,19,5.5492255394347,5.4347672,0.25267366
20,5,5,20,8.42179385246709,8.59085,0.25701514
20,5,6,1,6.06268297648057,5.862303,0.26745895
20,5,6,2,9.3764197290875,9.536551,0.22117776
20,5,6,3,2.64352067606524,2.2446523,0.22523865
20,5,6,4,3.80093919346109,3.1174223,0.2517137
20,5,6,5,8.07483389042318,8.319128,0.25377357
20,5,6,6,9.78075725259259,9.82019,0.20233913
20,5,6,7,9.57933716475964,9.436084,0.22598115
20,5,6,8,7.62731856433675,8.071353,0.273506
20,5,6,9,5.09648534934968,5.093836,0.2548915
20,5,6,10,0.644767952617258,0.31688833,0.20773591
20,5,6,11,6.43572765169665,6.295726,0.25160548
20,5,6,12,9.15908884257078,9.19967,0.243525
20,5,6,13,0.952325807884336,0.54766035,0.19288011
20,5,6,14,2.95372802997008,2.9604626,0.21062432
20,5,6,15,7.6993169891648,7.928295,0.23903115
20,5,6,16,2.55893525900319,2.6321359,0.25925225
20,5,6,17,5.17895726021379,5.1508765,0.25981912
20,5,6,18,6.7784993047826,7.1670446,0.23626964
20,5,6,19,1.47227819310501,1.3945817,0.2280489
20,5,6,20,7.00526044936851,7.2619934,0.25145143
20,5,7,1,9.88909297855571,9.888606,0.25535598
20,5,7,2,3.97745453286916,4.1337686,0.277752
20,5,7,3,1.15697778761387,1.1113856,0.26732427
20,5,7,4,0.697486787103117,0.64914596,0.23765028
20,5,7,5,2.43749390589073,2.39943,0.23255192
20,5,7,6,7.92010425822809,7.937934,0.25457844
20,5,7,7,3.40062352828681,3.6315098,0.22670364
20,5,7,8,9.72062500659376,9.259469,0.26184484
20,5,7,9,1.65855484548956,1.4773501,0.23053494
20,5,7,10,4.59103665780276,4.826291,0.3024232
20,5,7,11,1.71748076798394,1.9489536,0.21466039
20,5,7,12,2.31477101799101,2.1465847,0.20970707
20,5,7,13,7.72811945760623,7.619729,0.26754576
20,5,7,14,0.963015416637063,0.66361755,0.24422185
20,5,7,15,4.53447770094499,4.629468,0.23929656
20,5,7,16,0.847007129341364,0.7185383,0.23056675
20,5,7,17,5.6066586705856,5.7361774,0.24968408
20,5,7,18,0.0870459992438555,0.3060007,0.26452562
20,5,7,19,9.85737090697512,9.682876,0.2737057
20,5,7,20,3.16584804095328,3.4874427,0.25382468
20,5,8,1,4.66295241378248,4.989438,0.28079742
20,5,8,2,2.07823317032307,2.3264904,0.29878837
20,5,8,3,7.99657957628369,8.119223,0.27206713
20,5,8,4,6.51871317764744,6.374248,0.24680483
20,5,8,5,3.21509178960696,3.6309466,0.2865665
20,5,8,6,7.18927504029125,7.4043365,0.2545646
20,5,8,7,2.90873386897147,3.1095662,0.29396722
20,5,8,8,9.32269813260064,8.762888,0.25998303
20,5,8,9,7.69146954407915,7.894712,0.2564664
20,5,8,10,6.44491136772558,6.4143867,0.258981
20,5,8,11,4.57044888520613,4.6550817,0.2862407
20,5,8,12,0.893010105937719,0.63354725,0.28694746
20,5,8,13,4.32391373440623,4.28905,0.27728876
20,5,8,14,5.44962115585804,5.21099,0.27623668
20,5,8,15,1.38224346097559,1.6437902,0.27894363
20,5,8,16,9.27812252193689,8.562851,0.25442523
20,5,8,17,0.0130172143690288,-0.07439298,0.28659064
20,5,8,18,2.64458863530308,2.7639325,0.30040103
20,5,8,19,2.76532246964052,2.9342852,0.30599585
20,5,8,20,5.21107041742653,4.8946123,0.27270633
20,5,9,1,2.21601397264749,2.2174268,0.2286525
20,5,9,2,0.242339097894728,0.12602702,0.1813764
20,5,9,3,2.07119019469246,2.2355773,0.26950014
20,5,9,4,2.15733549557626,2.000015,0.2530926
20,5,9,5,4.43723587784916,4.612186,0.26166496
20,5,9,6,1.34076150367036,0.8114454,0.1897156
20,5,9,7,3.90657789772376,3.9809186,0.27077472
20,5,9,8,3.69315771851689,3.4377196,0.25183448
20,5,9,9,6.68692956678569,7.1806445,0.27883717
20,5,9,10,9.92109965998679,9.642645,0.28922877
20,5,9,11,1.17638953961432,0.608591,0.18668011
20,5,9,12,0.0847116415388882,-0.2020433,0.20143144
20,5,9,13,8.83366814581677,8.728282,0.33999774
20,5,9,14,3.01054707961157,3.0678332,0.25755662
20,5,9,15,4.92743505863473,5.2962856,0.26542103
20,5,9,16,5.00629938673228,5.0017414,0.25853598
20,5,9,17,4.02034473372623,3.6867719,0.2721169
20,5,9,18,9.77082821307704,9.33836,0.27365652
20,5,9,19,3.58326010871679,3.3211908,0.25520724
20,5,9,20,4.91660544415936,4.944248,0.27790886
20,5,10,1,5.07478203158826,5.0610228,0.14092581
20,5,10,2,3.06768506066874,2.9800246,0.11216175
20,5,10,3,4.26907666493207,4.476969,0.17023529
20,5,10,4,6.93102080840617,7.0436883,0.19082977
20,5,10,5,0.851359688676894,0.44651207,0.16848546
20,5,10,6,2.25436616456136,1.7035908,0.14852683
20,5,10,7,2.74530522990972,2.578753,0.10975357
20,5,10,8,2.72305066231638,2.5488977,0.12387077
20,5,10,9,6.15829307818785,5.856122,0.20325498
20,5,10,10,4.29671525489539,4.1246533,0.15473114
20,5,10,11,6.51655666995794,6.6124115,0.16230449
20,5,10,12,5.67737752571702,5.7324724,0.17357272
20,5,10,13,1.13508982118219,0.79851437,0.13789593
20,5,10,14,5.95925305271521,6.027241,0.1776634
20,5,10,15,3.58049975009635,3.5766463,0.1196936
20,5,10,16,4.28809418343008,4.1709337,0.14590444
20,5,10,17,0.519033221062273,0.4545681,0.16827188
20,5,10,18,2.64177667442709,2.297811,0.1442842
20,5,10,19,3.98790730861947,3.8837762,0.1435625
20,5,10,20,8.36134143406525,8.620463,0.26482075
20,5,11,1,2.77249794220552,2.6872272,0.2642117
20,5,11,2,0.0051831291057169,-0.2327257,0.24508443
20,5,11,3,5.10608372977003,5.2153373,0.2977402
20,5,11,4,0.140479083638638,-0.12318767,0.22406559
20,5,11,5,0.646897766273469,0.38394028,0.21429743
20,5,11,6,9.54849225468934,9.555059,0.25022247
20,5,11,7,0.864958912134171,0.5712247,0.22116879
20,5,11,8,2.89975009160116,3.0712085,0.21994087
20,5,11,9,8.80699172848836,8.967942,0.23773327
20,5,11,10,1.23216201318428,1.0014066,0.2553427
20,5,11,11,1.75112922675908,1.6320927,0.21986404
20,5,11,12,4.40750271780416,4.5303707,0.23609382
20,5,11,13,9.0718297357671,9.235659,0.24287759
20,5,11,14,8.51041866932064,8.300089,0.22133651
20,5,11,15,7.33987492742017,7.5274696,0.2618174
20,5,11,16,5.73685721494257,5.6323586,0.273703
20,5,11,17,4.81765535892919,4.363225,0.21635081
20,5,11,18,3.30610994482413,3.1508634,0.18001942
20,5,11,19,1.57660248922184,1.5960597,0.24119745
20,5,11,20,4.8013405338861,4.9622087,0.2580776
20,5,12,1,0.693609158042818,0.961432,0.19329192
20,5,12,2,8.17775198724121,8.374646,0.24236481
20,5,12,3,9.42621732363477,9.385558,0.22956751
20,5,12,4,2.69381876336411,2.287457,0.25980458
20,5,12,5,1.69348123250529,1.7016549,0.21742147
20,5,12,6,0.338956224732101,0.21764089,0.19751632
20,5,12,7,1.78785004187375,1.9884366,0.19688642
20,5,12,8,6.41665365546942,6.4646144,0.21641617
20,5,12,9,0.228777434676886,0.40078825,0.18325645
20,5,12,10,0.0832482660189271,-0.26230565,0.22224516
20,5,12,11,3.92697197152302,3.5915859,0.18005805
20,5,12,12,8.13880559289828,8.076211,0.2403535
20,5,12,13,3.7624845537357,3.3617256,0.17664637
20,5,12,14,3.80812183720991,3.3163,0.18776013
20,5,12,15,2.64918377622962,2.5794826,0.22326368
20,5,12,16,4.39334316411987,4.352699,0.13954869
20,5,12,17,4.57607151241973,4.579098,0.13579646
20,5,12,18,5.40707547217607,5.658719,0.16592792
20,5,12,19,6.65679829893634,6.9843044,0.20559213
20,5,12,20,1.12698937533423,1.141356,0.22402187
20,5,13,1,7.10322446655482,7.073518,0.2697699
20,5,13,2,2.46137301670387,2.6108172,0.33130312
20,5,13,3,3.89634444611147,3.757062,0.29493138
20,5,13,4,0.913836725521833,0.7555141,0.28356627
20,5,13,5,9.62064544670284,9.328392,0.2855523
20,5,13,6,0.109333300497383,0.01782245,0.28555116
20,5,13,7,5.74295177590102,5.5085573,0.28009355
20,5,13,8,7.64397989492863,7.907614,0.24687116
20,5,13,9,8.73382309218869,8.553887,0.26394862
20,5,13,10,0.410633541177958,0.2013227,0.29105967
20,5,13,11,6.61121600540355,6.7591457,0.27533072
20,5,13,12,8.78370850346982,9.274689,0.26505435
20,5,13,13,8.90559029532596,9.231683,0.24373172
20,5,13,14,5.66280465573072,6.0331016,0.2808977
20,5,13,15,5.93547344440594,5.7896013,0.28590807
20,5,13,16,3.64514516666532,3.4460576,0.2973321
20,5,13,17,3.57412851415575,3.2793221,0.28911257
20,5,13,18,5.91457054251805,5.305116,0.28853646
20,5,13,19,8.65451460238546,8.770278,0.26164252
20,5,13,20,6.80523660033941,6.9691095,0.3069234
20,5,14,1,2.54033731063828,1.9553487,0.24376982
20,5,14,2,6.37827298371121,6.165918,0.28102088
20,5,14,3,9.57188642118126,9.7019205,0.28900957
20,5,14,4,5.52546738879755,6.0213647,0.2750453
20,5,14,5,9.83067143009976,9.889911,0.27782854
20,5,14,6,5.11473868042231,4.891692,0.28460687
20,5,14,7,9.32823361828923,9.424254,0.28261653
20,5,14,8,4.284277188126,4.1766,0.30135828
20,5,14,9,4.85585135407746,5.1478896,0.26277292
20,5,14,10,3.81652226205915,3.8087187,0.28935596
20,5,14,11,8.91015218105167,8.762753,0.27178457
20,5,14,12,1.6378996684216,1.8425194,0.28109515
20,5,14,13,4.74134463118389,4.7701616,0.27248162
20,5,14,14,8.51211223052815,8.553642,0.2665244
20,5,14,15,8.57463751221076,8.171645,0.28117242
20,5,14,16,7.39684720523655,6.836601,0.26460773
20,5,14,17,3.53099695872515,3.413248,0.23307754
20,5,14,18,6.73373083118349,6.7257514,0.25935325
20,5,14,19,8.51568246027455,8.735892,0.28044653
20,5,14,20,5.95358034130186,5.995737,0.26864848
20,5,15,1,6.02114044129848,5.938738,0.21609992
20,5,15,2,1.95043927291408,1.7185801,0.14734927
20,5,15,3,9.66458732029423,9.757575,0.17073256
20,5,15,4,6.50905529269949,6.2690897,0.1956212
20,5,15,5,3.67071893531829,4.0188227,0.20937559
20,5,15,6,9.88859211327508,10.23555,0.14950712
20,5,15,7,8.15193412825465,8.277512,0.14432168
20,5,15,8,2.53968368750066,3.034093,0.21804927
20,5,15,9,6.87230846611783,6.789681,0.18136221
20,5,15,10,8.31429020501673,8.48528,0.1691944
20,5,15,11,1.04669364402071,1.480818,0.1556981
20,5,15,12,6.46150910062715,6.5875926,0.19852225
20,5,15,13,5.09090392151847,5.2243495,0.22398964
20,5,15,14,7.06628567539155,6.8637476,0.16350146
20,5,15,15,8.62313656602055,8.76011,0.2134177
20,5,15,16,8.41785145225003,8.6281805,0.17863154
20,5,15,17,4.47443719021976,4.509386,0.28027746
20,5,15,18,9.64666954241693,10.049769,0.14193727
20,5,15,19,1.41187072964385,1.3507644,0.16464002
20,5,15,20,7.76712512830272,7.8981605,0.15211192
20,5,16,1,6.83110056677833,6.986589,0.22148377
20,5,16,2,2.44117417139933,2.4412205,0.19913101
20,5,16,3,4.50111359590665,4.2552557,0.2627031
20,5,16,4,2.29435093468055,2.3313606,0.17209399
20,5,16,5,8.63507915986702,8.521299,0.21856073
20,5,16,6,3.11200278811157,2.947566,0.23992579
20,5,16,7,0.743372743017972,0.6245265,0.16824277
20,5,16,8,8.32321612630039,8.128893,0.24787405
20,5,16,9,8.74480480328202,8.910104,0.22063248
20,5,16,10,1.39361739624292,1.6863425,0.16017409
20,5,16,11,3.19744975306094,2.965676,0.20596625
20,5,16,12,5.91114865615964,6.3118534,0.26126498
20,5,16,13,1.57219668151811,2.0186434,0.1783433
20,5,16,14,6.61381979240105,6.692112,0.25275016
20,5,16,15,5.25340779684484,4.802578,0.23324451
20,5,16,16,2.40201973589137,2.2228281,0.16857263
20,5,16,17,8.4731193818152,8.181636,0.24156775
20,5,16,18,6.88514651264995,7.171042,0.29226765
20,5,16,19,7.16725732199848,7.5235047,0.29013056
20,5,16,20,0.761555817443877,0.51735145,0.16425622
20,5,17,1,1.55050833243877,1.2439555,0.29291278
20,5,17,2,9.68378808815032,9.74123,0.22779895
20,5,17,3,4.6826308593154,4.5193224,0.25118107
20,5,17,4,7.76819651713595,6.5974994,0.3163843
20,5,17,5,4.07885741209611,3.7278893,0.2752284
20,5,17,6,5.38797148503363,5.1520977,0.27155373
20,5,17,7,2.06887663574889,1.8874964,0.28421715
20,5,17,8,1.8710355530493,1.648421,0.2673072
20,5,17,9,7.79969688039273,7.767578,0.27605665
20,5,17,10,1.93943927064538,1.747244,0.2836767
20,5,17,11,4.34231178369373,4.5287995,0.23936151
20,5,17,12,0.0227451813407242,-0.09144197,0.27423927
20,5,17,13,8.34692138712853,8.094813,0.2464885
20,5,17,14,8.30082966247573,8.391804,0.26046452
20,5,17,15,9.56967817852274,9.978529,0.2390468
20,5,17,16,9.48497073026374,9.736536,0.2316399
20,5,17,17,6.00729975616559,6.5793424,0.29438367
20,5,17,18,2.61807404924184,2.3352354,0.2830707
20,5,17,19,6.43034250708297,6.670885,0.2805417
20,5,17,20,5.26233507087454,4.971847,0.26334593
20,5,18,1,8.22896314784884,8.097461,0.26762927
20,5,18,2,7.10199575405568,7.179946,0.29032865
20,5,18,3,9.65834765927866,9.745375,0.22232942
20,5,18,4,0.78610778786242,0.88534665,0.2407267
20,5,18,5,0.536370745394379,0.2214792,0.23904727
20,5,18,6,5.74978216551244,6.117635,0.24652179
20,5,18,7,3.87780030025169,4.064672,0.24209508
20,5,18,8,5.1038836594671,4.9050665,0.23034607
20,5,18,9,3.66147971944883,3.8823774,0.23438485
